Date,Country,Confirmed,Recovered,Deceased
12-08-2020,India,2395472,1695864,47139
13-08-2020,India,2459613,1750640,48145
14-08-2020,India,2525223,1807560,49134
15-08-2020,India,2589209,1860676,50086
16-08-2020,India,2647305,1918080,51038
17-08-2020,India,2701603,1976252,51918
18-08-2020,India,2766627,2036707,53017
19-08-2020,India,2835823,2096072,53996
20-08-2020,India,2904341,2157945,54977
21-08-2020,India,2973370,2220803,55930
22-08-2020,India,3043437,2279904,56848
23-08-2020,India,3105186,2336800,57694
24-08-2020,India,3164882,2403105,58548
25-08-2020,India,3231755,2467256,59614
26-08-2020,India,3307750,2523447,60631
27-08-2020,India,3384577,2583067,61697
28-08-2020,India,3461234,2647542,62716
29-08-2020,India,3539713,2712524,63659
30-08-2020,India,3619174,2772946,64619
31-08-2020,India,3687940,2837381,65435
01-09-2020,India,3766108,2899528,66462
02-09-2020,India,3848973,2967404,67488
03-09-2020,India,3933132,3034914,68571
04-09-2020,India,4020239,3104518,69637
05-09-2020,India,4110845,3177683,70681
06-09-2020,India,4202570,3247313,71686
07-09-2020,India,4277585,3321429,72815
08-09-2020,India,4367440,3396037,73922
09-09-2020,India,4462976,3469099,75090
10-09-2020,India,4559738,3540003,76303
11-09-2020,India,4657393,3621459,77505
12-09-2020,India,4751807,3699321,78616
13-09-2020,India,4845027,3777069,79756
14-09-2020,India,4926936,3856277,80810
15-09-2020,India,5018033,3939131,82091
16-09-2020,India,5115893,4022055,83231
17-09-2020,India,5212680,4109843,84406
18-09-2020,India,5305653,4205358,85627
19-09-2020,India,5398227,4299747,86776
20-09-2020,India,5485622,4392673,87911
21-09-2020,India,5560115,4494748,88967
22-09-2020,India,5643477,4584405,90052
23-09-2020,India,5730180,4671864,91175
24-09-2020,India,5816101,4753006,92319
25-09-2020,India,5901818,4846337,93412
26-09-2020,India,5990577,4938702,94536
27-09-2020,India,6073347,5013393,95576
28-09-2020,India,6143016,5098591,96351
29-09-2020,India,6223516,5184741,97529
30-09-2020,India,6310264,5270015,98708
01-10-2020,India,6392049,5348746,99807
02-10-2020,India,6471934,5425086,100875
03-10-2020,India,6547413,5506741,101812
04-10-2020,India,6622183,5583456,102715
05-10-2020,India,6682313,5659313,103601
06-10-2020,India,6754182,5741258,104591
07-10-2020,India,6832991,5824468,105554
08-10-2020,India,6903789,5903213,106521
09-10-2020,India,6977094,5985841,107450
10-10-2020,India,7051512,6074865,108371
11-10-2020,India,7119301,6146430,109184
12-10-2020,India,7173563,6224795,109894
13-10-2020,India,7237280,6298874,110621
14-10-2020,India,7305091,6380456,111311
15-10-2020,India,7368532,6451248,112193
16-10-2020,India,7430836,6521816,113033
17-10-2020,India,7492729,6594399,114065
18-10-2020,India,7549248,6660817,114647
19-10-2020,India,7594754,6730617,115236
20-10-2020,India,7649102,6792445,115950
21-10-2020,India,7705366,6872006,116651
22-10-2020,India,7759737,6946575,117337
23-10-2020,India,7813668,7013569,117992
24-10-2020,India,7864034,7075839,118570
25-10-2020,India,7909956,7135143,119053
26-10-2020,India,7946069,7199016,119544
27-10-2020,India,7989103,7257444,120055
28-10-2020,India,7999433,7265104,120094
